gene_name,indices
C1orf21,1496
MAD2L2,1497
MFN2,1498
MIIP,1499
SLC35D1,1500
PRAMEF10,1501;205470
PRAMEF4,1502;205173
PRDM2,1503
RGS2,1504
DENND1B,1505
WARS2,1506
OSCP1,1507
NT5C1A,1508
KDM5B,1509
AKR7A2,1510
GBP3,1511
RAB29,1512
CD160,1513
HMGCL,1514
APH1A,1515
P3H1,1516
EBNA1BP2,1517
ATP6V0B,1518
SLC19A2,1519
SELL,1520
FMO6P,1521;20441
VAMP4,1522
GRHL3,1523
SYF2,1524
DHDDS,1525
PPP1R8,1526
SLC5A9,1527
CTSD,1528
COLEC11,1529
STAG1,1530
A4GNT,1531
MMP8,1532
APOA1,1533
SLC8A2,1534
NR5A2,1535
CAMSAP2,1536
FCGR2B,1537
FCRLA,1538
EEF1B2,1539;207967
ATIC,1540
TNP1,1541
FASTKD2,1542
TTR,1543
B4GALT6,1544
DOP1A,1545
FILIP1,1546
CASP8AP2,1547;242299
UBE3D,1548
SPACA1,1549
SGIP1,1550
TBPL1,1551
ZC2HC1B,1552
FBXO30,1553
ADAT2,1554
TNFAIP3,1555
SGK1,1556
TCF21,1557
PMFBP1,1558
MED28,1559
RNF103,1560
MYL12B,1561
ARMC2,1562
GHRH,1563;274580
RPN2,1564;274582
MTCL2,1565
PKD2,1566
ABCG2,1567
SPP1,1568
STBD1,1569
ADH6,1570
CCNI,1571
RARRES1,1572
RAB3GAP2,1573
LDAH,1574
FGF23,1575
OTUD4P1,1576
ELL2,1577
GLRX,1578
NDUFB3,1579
ZFAND5,1580
GDA,1581
ECRG4,1582
YWHAQ,1583
ITGB1BP1,1584
CPSF3,1585
PIGZ,1586
DDX55,1587
CCDC92,1588;190217
LGALS8,1589
FKBP15,1590
HDHD3,1591
ALG2,1592
VPS4B,1594
SERPINB10,1595
GSC,1596
ADCK1,1597
PGF,1598
IFI27L2,1599;194261
NEK9,1600
ACYP1,1601
IFT43,1602
NPC2,1603
IRF2BPL,1604
ACOT2,1605
FLVCR2,1606
DLST,1607
TGFB3,1608
ZC2HC1C,1609
SLIRP,1610
PAPOLG,1611
TP53I3,1612
RHOQ,1613
TMEM214,1614
ATAD2B,1615
FAM98A,1616
YIPF4,1617
AFTPH,1618
LGALSL,1619
